date,trich
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
31/07/2022,0
29/07/2022,0
29/07/2022,0
29/07/2022,0
29/07/2022,0
29/07/2022,0
29/07/2022,0
29/07/2022,0
